location,compatibility,necessity,actual
영도구 신선동,83.33,76.86,1
영도구 봉래1동,31.48,76.86,0
영도구 봉래2동,90.74,76.86,1
영도구 청학1동,81.48,76.86,1
영도구 청학2동,94.44,76.86,1
영도구 동삼1동,100,53.72,1
영도구 동삼2동,87.04,53.72,1
영도구 동삼3동,90.74,53.72,1
중구 중앙동,98.15,71.9,1
중구 동광동,98.15,71.9,1
중구 대청동,98.15,71.9,1
중구 보수동,100,71.9,1
중구 부평동,100,71.9,1
중구 광복동,74.07,71.9,1
중구 남포동,96.3,71.9,0
중구 영주1동,94.44,46.28,1
중구 영주2동,100,46.28,1
해운대구 우1동,48.15,32.23,1
해운대구 우2동,46.3,69.42,1
해운대구 우3동,38.89,32.23,0
해운대구 중1동,85.19,32.23,1
해운대구 중2동,90.74,32.23,1
해운대구 좌1동,18.52,32.23,0
해운대구 좌2동,31.48,32.23,0
해운대구 좌3동,20.37,32.23,0
해운대구 좌4동,50,32.23,1
해운대구 송정동,88.89,77.69,1
해운대구 반여1동,50,77.69,0
해운대구 반여2동,25.93,30.58,0
해운대구 반여3동,22.22,30.58,0
해운대구 반여4동,51.85,30.58,1
해운대구 반송1동,88.89,82.64,1
해운대구 반송2동,87.04,30.58,1
해운대구 재송1동,14.81,32.23,0
해운대구 재송2동,25.93,30.58,0
